poiID,商家名,平均得分,地址,平均价格,获得评论总数
188982319,阿卡AK.Lab洋风韩国料理（楚河汉街店）,5,武昌区楚河南路汉街一街区汉街总部国际C座对面（coco楼上，小川料理汉街一店旁）,98,23
4557254,跳跳蛙（司门口店）,4.5,武昌区解放路司门口环球电影城前行50米,49,3469
2469846,墨记烤牛蛙（悦荟广场店）,5,江汉区民生路176号悦荟广场B座1层b276室（地铁2号线江汉路站）,13,17641
1133657226,炊牛酒馆,3.5,洪山区武昌府花样街,68,1
6005863,老渔翁鱼火锅（东西湖大道店）,4.7,东西湖区东西湖大道6541号,38,1471
740750,凤爪烧烤,4.3,武昌区武昌中华路都景园10号（近中华路派出所）,40,2695
1955620409,佛啦格音乐烤肉,0,江岸区江汉一路一食万巷二楼,70,5
6873328,八喜冰淇淋蛋糕（武胜路凯德店）,4.6,硚口区万安国际25楼2510室（地铁六号线武胜路站A出口向硚口方向前行40米至操场角路口）,103,808
6075167,贵哥卤肉卷（奥山世纪城店）,4,青山区和平大道819号奥山世纪城B1层（沃尔玛门口）,9,7380
194758820,有秦怀鲜卤市井火锅,3.8,蔡甸区经开金街东风大道111号附97,81,18
744536,紫燕百味鸡（百步亭店）,3.9,江岸区百步亭花园温馨苑D区5号商铺,20,3108
5633439,海贼王主题冰淇淋,4.6,洪山区虎泉街创意坊1楼（地铁二号线虎泉站）,14,2731
160911973,奈雪の茶（武汉天地店）,4,江岸区芦沟桥路48号武汉天地A4-3地块A4地块三期9号楼,31,4
5131823,麦格芬牛排中西餐厅（万达广场店）,4,蔡甸区东风大道111号万达广场万达金街（万达三号门附近）,44,15100
41605051,五谷渔粉（光谷天地店）,3.9,洪山区关山大道关谷天地沃尔玛一楼（真快活美食乐园美食天地对面）,11,2093
157250036,成都醉川香串串火锅,4.7,洪山区光谷步行街风度柏林3期1310号（德国风情街飞机餐厅头部右侧）,47,2047
5151532,六婆串串香（汉口城市广场店）,3.9,江岸区后湖大道111号汉口城市广场1层（外围）,57,7069
40161740,云间云贵传奇风味（永旺梦乐城店）,3.9,东西湖区金银潭大道1号永旺梦乐城2层（近二号线金银潭A出口，常青花园对面）,55,1871
193994566,伙结老武汉烧烤,4.4,蔡甸区经开金街东风大道111号,73,31
766151,李二鲜鱼村（金墩路店）,4,江汉区金墩街红旗公寓门口（距汉口火车站约855米）,42,2411
4050450,川行天下（中百百货店）,3.7,江夏区文华路37号中百百货5层,47,8190
168853643,Panofusion域,4.3,汉阳区晴川大道世茂希尔顿酒店公寓楼4103,479,7
5792382,薄冰羊肉粉（华罗利广场店）,5,洪山区民族大道华罗利广场2楼E02号,12,2016
737759,楚山城菜馆（虎泉店）,4.3,洪山区虎泉街87附6号(卓刀泉市场对面),37,2712
159857878,宽窄巷子成都串串香（万松园店）,3.7,江汉区万松园雪松路37号,53,2504
6023271,辣得跳（光谷天地店）,4,洪山区关山大道光谷天地沃尔玛一楼美食街,14,5952
40061617,鱼友烤全鱼（虎泉时尚创意坊店）,4.3,洪山区珞南街道虎泉街91附3号（虎泉创意坊二楼，地铁二号线虎泉站）,49,5951
1149820,鱼酷活力烤鱼（万达广场店）,5,蔡甸区东风大道经开万达广场三楼3-27，3-28（靠近一号门）,79,1540
6200595,新粤粥府（鲁巷广场购物中心店）,3.7,洪山区珞喻路726号鲁巷广场购物中心6层（地铁2号线光谷广场站F口）,49,6467
4426164,老三烤鱼,4.2,蔡甸区三角湖路泰合百花公园观景楼2层23号商铺,33,2736
63309900,蒸虾壹号烤全羊蒙古包（后湖店）,3.7,江岸区后湖大道与温馨路交汇处,124,631
746117,凯威啤酒屋（销品茂店）,4.3,武昌区徐东大街18号销品茂5层（凯威啤酒屋旁）,72,13809
42565232,豪大大香鸡排,5,蔡甸区宁康路58号11栋附4,13,1682
40776929,刘师父老汉口江湖菜,4.7,江岸区蔡锷路14号,67,285
5344746,梅园宾馆自助餐厅,4.5,硚口区解放大道体育馆1089-11号北（同济医院旁）,109,6318
5568574,李二鲜鱼村（民族店）,4.8,洪山区民族大道中南财经政法大学旁（东山头车站背后）,30,5389
179408124,蜀大侠火锅（藏龙岛店）,4,江夏区江夏区杨桥湖大道15号拓创大厦三楼,78,318
1556085,汉香宴域正宗秘制辣卤牛蛙,4,江汉区民生路176号武汉万达商业广场B栋一层119号,54,1945
5547288,京滏山自助烤肉海鲜火锅（金滏山品牌升级店）（鲁巷广场购物中心店）,4,洪山区珞喻路726号（鲁巷广场购物中心6层）,44,84661
99605336,桃花醉小酒馆（沌口店）,3.5,蔡甸区武汉经济技术开发区三角湖路凤鸣广场商业2号楼二层（近江汉大学1号门）,71,86
750766,樱花雨寿司,5,武昌区后长街80号黄鹤楼小区一期1-2层,24,3580
41938493,永兴家味.湖北特色菜馆（永旺梦乐城店）,3.5,东西湖区金银潭大道1号永旺梦乐城3层永旺百货内,41,4594
522294440,麦可MICK烘焙坊（汉阳店）,3.5,汉阳区汉阳大道695号,50,0
42542072,烤尚宫韩式自助餐厅（中核世纪广场店）,3.7,蔡甸区汉阳大街中核世纪广场三楼,46,6609
40949324,鬼味炸炸,3.6,汉阳区鹦鹉大道汉商银座小吃街后门（鬼味海鲜旁边）,15,7889
70824542,霄汉烤羊排（雪松路1店）,3.7,江汉区万松园雪松路50号（地铁2号线王家墩东地铁站C1、C2出口旁）,54,475
42522908,幸福时光蛋糕（光谷广场店）,3.9,洪山区珞喻路998号光谷国际广场（中心花园第A幢A层099号房，近鲁巷广场，光谷大洋百货）,0,2047
